Date,Public Health Unit,Cases by episode date,7 day rolling average: Cases by episode date,Cases rate by episode date,Cases by reported date,7 day rolling average: Cases by reported date,Cases rate by reported date,Hospitalizations by episode date,Hospitalizations rate by episode date,Hospitalizations by reported date,Hospalizations rate by reported date,Deaths,Deaths rate,B.1.1.7 (Alpha): Cases by episode date,B.1.1.7 (Alpha): Cases by reported date,B.1.351 (Beta): Cases by episode date,B.1.351 (Beta): Cases by reported date,P.1 (Gamma): Cases by episode date,P.1 (Gamma): Cases by reported date,B.1.617.2 (Delta): Cases by episode date,B.1.617.2 (Delta): Cases by reported date,Mutation: Cases by episode date,Mutation: Cases by reported date,Mutation not detected: Cases by episode date,Mutation not detected: Cases by reported date
"February 24, 2020",Ontario,4,3,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"February 25, 2020",Ontario,3,3,0,1,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"February 26, 2020",Ontario,2,4,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"February 27, 2020",Ontario,2,4,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"February 28, 2020",Ontario,5,4,0,5,1,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"February 29, 2020",Ontario,5,4,0,4,1,0,1,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 1, 2020",Ontario,23,4,0.2,2,2,0,6,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 2, 2020",Ontario,16,7,0.1,0,2,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 3, 2020",Ontario,13,9,0.1,2,2,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 4, 2020",Ontario,13,11,0.1,1,3,0,3,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 5, 2020",Ontario,27,13,0.2,4,3,0,6,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 6, 2020",Ontario,34,17,0.2,3,3,0,8,0.1,2,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 7, 2020",Ontario,32,21,0.2,3,3,0,4,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 8, 2020",Ontario,53,26,0.4,5,2,0,6,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 9, 2020",Ontario,68,31,0.5,6,3,0,13,0.1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 10, 2020",Ontario,102,39,0.7,9,4,0.1,26,0.2,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 11, 2020",Ontario,104,54,0.7,23,5,0.2,21,0.1,1,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 12, 2020",Ontario,131,69,0.9,37,9,0.3,17,0.1,4,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 13, 2020",Ontario,155,86,1.1,36,14,0.2,31,0.2,5,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 14, 2020",Ontario,147,105,1,32,19,0.2,28,0.2,5,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 15, 2020",Ontario,193,124,1.3,36,24,0.2,39,0.3,5,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 16, 2020",Ontario,267,147,1.8,53,29,0.4,45,0.3,11,0.1,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 17, 2020",Ontario,274,179,1.9,59,37,0.4,43,0.3,11,0.1,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 18, 2020",Ontario,274,208,1.9,59,45,0.4,54,0.4,10,0.1,1,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 19, 2020",Ontario,263,235,1.8,69,51,0.5,58,0.4,9,0.1,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 20, 2020",Ontario,354,257,2.4,99,56,0.7,84,0.6,9,0.1,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 21, 2020",Ontario,278,289,1.9,72,66,0.5,63,0.4,21,0.1,1,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 22, 2020",Ontario,275,311,1.9,87,73,0.6,61,0.4,19,0.1,2,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 23, 2020",Ontario,340,324,2.3,144,81,1,75,0.5,28,0.2,2,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 24, 2020",Ontario,278,336,1.9,174,96,1.2,57,0.4,39,0.3,5,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 25, 2020",Ontario,305,337,2.1,138,115,0.9,62,0.4,30,0.2,4,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 26, 2020",Ontario,294,342,2,250,128,1.7,75,0.5,62,0.4,3,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 27, 2020",Ontario,332,347,2.3,297,157,2,63,0.4,71,0.5,4,0,-,-,-,-,-,-,-,-,-,-,-,-
"March 28, 2020",Ontario,317,343,2.2,235,190,1.6,62,0.4,60,0.4,8,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"March 29, 2020",Ontario,291,350,2,227,216,1.5,71,0.5,55,0.4,14,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"March 30, 2020",Ontario,388,352,2.6,439,239,3,67,0.5,85,0.6,18,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"March 31, 2020",Ontario,329,360,2.2,412,287,2.8,77,0.5,94,0.6,15,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"April 1, 2020",Ontario,477,368,3.2,454,326,3.1,93,0.6,82,0.6,16,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"April 2, 2020",Ontario,369,396,2.5,450,378,3.1,70,0.5,104,0.7,26,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"April 3, 2020",Ontario,444,409,3,465,410,3.2,77,0.5,83,0.6,23,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"April 4, 2020",Ontario,404,427,2.7,350,438,2.4,63,0.4,84,0.6,28,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"April 5, 2020",Ontario,369,441,2.5,371,457,2.5,65,0.4,80,0.5,30,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"April 6, 2020",Ontario,453,454,3.1,479,480,3.3,84,0.6,99,0.7,30,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"April 7, 2020",Ontario,429,464,2.9,458,487,3.1,78,0.5,89,0.6,35,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"April 8, 2020",Ontario,432,481,2.9,494,494,3.4,72,0.5,94,0.6,37,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"April 9, 2020",Ontario,461,473,3.1,489,501,3.3,67,0.5,96,0.7,43,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"April 10, 2020",Ontario,549,488,3.7,399,507,2.7,74,0.5,94,0.6,36,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"April 11, 2020",Ontario,534,506,3.6,477,496,3.2,77,0.5,89,0.6,44,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"April 12, 2020",Ontario,468,527,3.2,549,517,3.7,53,0.4,71,0.5,46,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"April 13, 2020",Ontario,613,543,4.2,602,546,4.1,75,0.5,90,0.6,51,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"April 14, 2020",Ontario,587,569,4,558,566,3.8,75,0.5,91,0.6,45,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"April 15, 2020",Ontario,639,595,4.3,619,583,4.2,90,0.6,85,0.6,61,0.4,-,-,-,-,-,-,-,-,-,-,-,-
"April 16, 2020",Ontario,617,629,4.2,582,603,4,80,0.5,79,0.5,57,0.4,-,-,-,-,-,-,-,-,-,-,-,-
"April 17, 2020",Ontario,661,654,4.5,751,618,5.1,77,0.5,107,0.7,54,0.4,-,-,-,-,-,-,-,-,-,-,-,-
"April 18, 2020",Ontario,543,672,3.7,601,676,4.1,70,0.5,70,0.5,55,0.4,-,-,-,-,-,-,-,-,-,-,-,-
"April 19, 2020",Ontario,360,674,2.4,595,696,4,54,0.4,71,0.5,84,0.6,-,-,-,-,-,-,-,-,-,-,-,-
"April 20, 2020",Ontario,542,656,3.7,614,703,4.2,70,0.5,81,0.5,57,0.4,-,-,-,-,-,-,-,-,-,-,-,-
"April 21, 2020",Ontario,434,645,2.9,522,705,3.5,66,0.4,54,0.4,65,0.4,-,-,-,-,-,-,-,-,-,-,-,-
"April 22, 2020",Ontario,460,620,3.1,548,699,3.7,62,0.4,72,0.5,70,0.5,-,-,-,-,-,-,-,-,-,-,-,-
"April 23, 2020",Ontario,445,591,3,511,688,3.5,63,0.4,83,0.6,58,0.4,-,-,-,-,-,-,-,-,-,-,-,-
"April 24, 2020",Ontario,428,562,2.9,433,676,2.9,63,0.4,63,0.4,64,0.4,-,-,-,-,-,-,-,-,-,-,-,-
"April 25, 2020",Ontario,448,524,3,428,624,2.9,57,0.4,53,0.4,67,0.5,-,-,-,-,-,-,-,-,-,-,-,-
"April 26, 2020",Ontario,370,509,2.5,367,596,2.5,48,0.3,57,0.4,65,0.4,-,-,-,-,-,-,-,-,-,-,-,-
"April 27, 2020",Ontario,474,511,3.2,480,559,3.3,75,0.5,65,0.4,68,0.5,-,-,-,-,-,-,-,-,-,-,-,-
"April 28, 2020",Ontario,406,499,2.8,417,537,2.8,56,0.4,67,0.5,48,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"April 29, 2020",Ontario,407,495,2.8,407,520,2.8,59,0.4,65,0.4,68,0.5,-,-,-,-,-,-,-,-,-,-,-,-
"April 30, 2020",Ontario,409,486,2.8,409,497,2.8,73,0.5,62,0.4,63,0.4,-,-,-,-,-,-,-,-,-,-,-,-
"May 1, 2020",Ontario,438,480,3,489,480,3.3,55,0.4,76,0.5,64,0.4,-,-,-,-,-,-,-,-,-,-,-,-
"May 2, 2020",Ontario,325,482,2.2,333,489,2.3,34,0.2,67,0.5,54,0.4,-,-,-,-,-,-,-,-,-,-,-,-
"May 3, 2020",Ontario,270,462,1.8,341,474,2.3,29,0.2,47,0.3,71,0.5,-,-,-,-,-,-,-,-,-,-,-,-
"May 4, 2020",Ontario,331,446,2.2,333,470,2.3,45,0.3,49,0.3,47,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"May 5, 2020",Ontario,336,422,2.3,409,446,2.8,44,0.3,74,0.5,42,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"May 6, 2020",Ontario,272,411,1.8,356,444,2.4,27,0.2,38,0.3,45,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"May 7, 2020",Ontario,316,389,2.1,306,436,2.1,36,0.2,40,0.3,43,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"May 8, 2020",Ontario,347,374,2.4,298,419,2,45,0.3,38,0.3,39,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"May 9, 2020",Ontario,318,359,2.2,310,388,2.1,32,0.2,33,0.2,39,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"May 10, 2020",Ontario,289,358,2,294,384,2,29,0.2,43,0.3,41,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"May 11, 2020",Ontario,393,361,2.7,216,376,1.5,42,0.3,29,0.2,38,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"May 12, 2020",Ontario,354,371,2.4,258,357,1.8,38,0.3,28,0.2,35,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"May 13, 2020",Ontario,312,374,2.1,362,333,2.5,29,0.2,41,0.3,27,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"May 14, 2020",Ontario,355,380,2.4,342,334,2.3,41,0.3,45,0.3,26,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"May 15, 2020",Ontario,468,387,3.2,380,340,2.6,63,0.4,68,0.5,31,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"May 16, 2020",Ontario,330,406,2.2,371,353,2.5,42,0.3,30,0.2,30,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"May 17, 2020",Ontario,307,408,2.1,421,363,2.9,33,0.2,38,0.3,25,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"May 18, 2020",Ontario,350,411,2.4,376,384,2.6,29,0.2,33,0.2,27,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"May 19, 2020",Ontario,397,404,2.7,327,410,2.2,30,0.2,30,0.2,27,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"May 20, 2020",Ontario,405,411,2.7,388,421,2.6,39,0.3,34,0.2,20,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"May 21, 2020",Ontario,350,426,2.4,338,425,2.3,32,0.2,23,0.2,27,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"May 22, 2020",Ontario,283,426,1.9,400,425,2.7,20,0.1,39,0.3,22,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"May 23, 2020",Ontario,283,395,1.9,367,428,2.5,25,0.2,37,0.3,26,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"May 24, 2020",Ontario,279,388,1.9,340,427,2.3,34,0.2,32,0.2,24,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"May 25, 2020",Ontario,374,383,2.5,399,414,2.7,40,0.3,45,0.3,29,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"May 26, 2020",Ontario,315,387,2.1,273,418,1.9,26,0.2,21,0.1,38,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"May 27, 2020",Ontario,291,374,2,322,409,2.2,24,0.2,32,0.2,27,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"May 28, 2020",Ontario,242,355,1.6,325,398,2.2,22,0.1,24,0.2,19,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"May 29, 2020",Ontario,332,337,2.3,606,396,4.1,23,0.2,39,0.3,25,0.2,-,-,-,-,-,-,-,-,-,-,-,-
"May 30, 2020",Ontario,287,345,1.9,346,430,2.3,20,0.1,37,0.3,19,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"May 31, 2020",Ontario,200,346,1.4,412,426,2.8,16,0.1,22,0.1,10,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"June 1, 2020",Ontario,363,333,2.5,397,438,2.7,19,0.1,28,0.2,12,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"June 2, 2020",Ontario,229,331,1.6,366,438,2.5,15,0.1,19,0.1,10,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"June 3, 2020",Ontario,235,317,1.6,348,453,2.4,16,0.1,22,0.1,16,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"June 4, 2020",Ontario,233,308,1.6,279,457,1.9,10,0.1,24,0.2,18,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"June 5, 2020",Ontario,226,307,1.5,278,450,1.9,14,0.1,24,0.2,20,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"June 6, 2020",Ontario,192,289,1.3,222,396,1.5,16,0.1,16,0.1,9,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"June 7, 2020",Ontario,162,274,1.1,207,376,1.4,10,0.1,8,0.1,9,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"June 8, 2020",Ontario,226,268,1.5,214,342,1.5,14,0.1,16,0.1,6,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 9, 2020",Ontario,172,245,1.2,216,312,1.5,13,0.1,15,0.1,16,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"June 10, 2020",Ontario,205,236,1.4,237,288,1.6,12,0.1,15,0.1,6,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 11, 2020",Ontario,181,231,1.2,187,270,1.3,10,0.1,21,0.1,8,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"June 12, 2020",Ontario,176,223,1.2,240,255,1.6,7,0,14,0.1,5,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 13, 2020",Ontario,129,215,0.9,171,249,1.2,12,0.1,10,0.1,11,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"June 14, 2020",Ontario,149,204,1,143,240,1,10,0.1,2,0,9,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"June 15, 2020",Ontario,215,202,1.5,177,230,1.2,9,0.1,10,0.1,5,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 16, 2020",Ontario,190,200,1.3,174,224,1.2,9,0.1,12,0.1,6,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 17, 2020",Ontario,180,203,1.2,191,217,1.3,7,0,12,0.1,3,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 18, 2020",Ontario,164,199,1.1,198,209,1.3,9,0.1,13,0.1,5,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 19, 2020",Ontario,164,196,1.1,189,211,1.3,6,0,9,0.1,6,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 20, 2020",Ontario,153,194,1,154,203,1,8,0.1,11,0.1,9,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"June 21, 2020",Ontario,131,198,0.9,174,200,1.2,4,0,16,0.1,4,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 22, 2020",Ontario,179,195,1.2,201,205,1.4,7,0,6,0,7,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 23, 2020",Ontario,171,190,1.2,152,209,1,8,0.1,6,0,10,0.1,-,-,-,-,-,-,-,-,-,-,-,-
"June 24, 2020",Ontario,149,186,1,164,206,1.1,7,0,5,0,6,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 25, 2020",Ontario,273,181,1.9,146,201,1,10,0.1,9,0.1,3,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 26, 2020",Ontario,112,199,0.8,182,193,1.2,6,0,6,0,5,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 27, 2020",Ontario,116,191,0.8,231,192,1.6,5,0,6,0,3,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 28, 2020",Ontario,118,185,0.8,205,204,1.4,5,0,7,0,4,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 29, 2020",Ontario,152,183,1,131,209,0.9,5,0,10,0.1,7,0,-,-,-,-,-,-,-,-,-,-,-,-
"June 30, 2020",Ontario,134,178,0.9,176,198,1.2,6,0,12,0.1,2,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 1, 2020",Ontario,103,172,0.7,150,202,1,4,0,2,0,2,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 2, 2020",Ontario,118,165,0.8,142,199,1,7,0,6,0,2,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 3, 2020",Ontario,118,139,0.8,152,199,1,6,0,4,0,3,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 4, 2020",Ontario,106,140,0.7,129,194,0.9,8,0.1,6,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 5, 2020",Ontario,79,139,0.5,92,177,0.6,3,0,7,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 6, 2020",Ontario,212,132,1.4,105,159,0.7,9,0.1,6,0,7,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 7, 2020",Ontario,161,142,1.1,139,154,0.9,11,0.1,8,0.1,3,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 8, 2020",Ontario,144,146,1,142,148,1,13,0.1,10,0.1,4,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 9, 2020",Ontario,118,153,0.8,136,147,0.9,8,0.1,8,0.1,2,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 10, 2020",Ontario,136,153,0.9,124,146,0.8,11,0.1,5,0,5,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 11, 2020",Ontario,116,156,0.8,128,142,0.9,9,0.1,9,0.1,3,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 12, 2020",Ontario,104,158,0.7,113,141,0.8,6,0,5,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 13, 2020",Ontario,185,162,1.3,98,145,0.7,7,0,6,0,4,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 14, 2020",Ontario,166,157,1.1,105,144,0.7,10,0.1,9,0.1,2,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 15, 2020",Ontario,174,158,1.2,133,138,0.9,4,0,5,0,4,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 16, 2020",Ontario,134,163,0.9,142,137,1,1,0,11,0.1,3,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 17, 2020",Ontario,133,166,0.9,165,138,1.1,2,0,2,0,2,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 18, 2020",Ontario,117,165,0.8,175,144,1.2,4,0,6,0,3,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 19, 2020",Ontario,101,165,0.7,122,152,0.8,12,0.1,6,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 20, 2020",Ontario,145,165,1,178,153,1.2,4,0,9,0.1,1,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 21, 2020",Ontario,145,158,1,118,167,0.8,5,0,5,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 22, 2020",Ontario,133,155,0.9,123,169,0.8,4,0,8,0.1,2,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 23, 2020",Ontario,110,148,0.7,195,167,1.3,4,0,6,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 24, 2020",Ontario,114,144,0.8,139,176,0.9,3,0,4,0,2,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 25, 2020",Ontario,97,141,0.7,118,171,0.8,3,0,3,0,2,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 26, 2020",Ontario,89,138,0.6,125,162,0.8,6,0,6,0,3,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 27, 2020",Ontario,137,136,0.9,122,163,0.8,5,0,5,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-
"July 28, 2020",Ontario,100,135,0.7,122,153,0.8,7,0,9,0.1,2,0,-,-,-,-,-,-,-,-,-,-,-,-
